source,content
sozcu,"
Afet ve Acil Durum Yönetimi Başkanlığının (AFAD) internet sitesinde yer alan bilgiye göre, saat 20.33'de merkez üssü Muğla'nın Fethiye ilçesi olan 4 büyüklüğünde sarsıntı kaydedildi.
Fethiye ilçesinin 21,9 kilometre açıklarında meydana gelen depremin 29,6 kilometre derinlikte olduğu belirlendi.
SON DEPREMLER LİSTESİ
Yaşanan depremlerin saatini ve büyüklüğünü anlık olarak takip etmek mümkün. Boğaziçi Üniversitesi Kandilli Rasathanesi ve Deprem Araştırma Enstitüsü Bölgesel Deprem- Tsunami İzleme ve Değerlendirme Merkezi (BDTİM) tarafından kaydedilen depremlere aşağıdaki linkten ulaşabilirsiniz.DAKİKA DAKİKA SON DEPREMLER İÇİN TIKLAYINIZAFAD SON DEPREMLER "
sozcu,"
Ordu Büyükşehir Belediyesi, Altınordu ilçesinde bulunan iş yerlerinin dış kısımlarına yılbaşı için yaptıkları süslemelerin kaldırılmasını istedi. 
Kentin en işlek caddelerinden biri olan Sırrıpaşa Caddesi'ndeki dükkanlara gönderilen tebligatta,""İş yerinizin dış cephesinde izinsiz olarak yapmış olduğunuz süslemelerinizi 3 (üç) gün içerisinde kaldırmanız, aksi takdirde cezai işlem uygulanacağını husussu tarafınıza tebliğ olunur"" ifadeleri yer aldı. Tebligatlar zabıtalar tarafından dükkan sahiplerine verildi.
TEPKİ ÇEKİNCE TEBLİGATLARI TOPLADILAR
Avukat Deniz Akbıyık, Ordu'da kafe işleten kuzenine gönderilen tebligatı ve kafenin fotoğraflarını sosyal medyada paylaşarak, ""Kuzenimin Ordu'da kafesi var. Her özel günde ayrı bir konsept ile Ordu'nun görüntüsünü güzelleştiriyorlar, 4 senedir de her yılbaşı süsleme yapıyorlar. Bu sene yılbaşı süslerinin kaldırılması için ihtar gönderilmiş. Hayırdır yılbaşı süsü yasaklandı mı?"" diye yazdı. 
Tepkiler artmaya başlayınca, AKP'li belediye tebligatları toplamaya başladığı belirtildi. "
diken,"
İstanbul Planlama Ajansı (İPA), Merkez Bankası (MB) Başkanı Hafize Gaye Erkan’ın kiralık ev ‘bulamayışının’ nedenlerini sıraladı. Fotoğraf: AA MB Başkanı Erkan, İstanbul’da kira fiyatlarının pahalılığından yakınarak, “İstanbul, Manhattan’dan pahalı olur mu? Biz İstanbul’da ev bulamadık. Müthiş pahalı. Annemlere yerleştik, onların yanında kalıyoruz” demişti. “Gaye Hanım neden İstanbul’da ev kiralayamıyor?” diye soran İPA, çalışanların maaşlarının enflasyon karşısında erimesine ve konut kiralarındaki astronomik artışa işaret etti. İPA ayrıca paylaştığı bir grafikle 2019 ile 2023 arasındaki şu ‘uçuruma’ dikkat çekti: *2019 Kasım ayında ortalama 20 TL olan ortalama kiralık metrekare fiyatı, 2023 Kasım ayına geldiğimizde 171 TL’ye ulaşarak yaklaşık 8,5 katına çıktı. *Kontrol edilemeyen kira fiyatları nedeniyle kiralık konut ilan sayısı geçen aya kıyasla ülke genelinde yüzde 4,1, İstanbul’da yüzde 2,7 azaldı. *100 metrekare bir evin ortalama kirası 17 bin 100 TL, bu da asgari ücretin neredeyse bir buçuk katı. Bir başka deyişle, asgari ücretle çalışan iki kişinin yaşadığı bir hanenin aylık gelirinin yüzde 75’i kira harcamasına gidiyor. "
euronews,"By Euronews Yayınlanma Tarihi 16/12/2023 - 16:57  Haberi paylaşın YorumlarAnalistler ve diplomatlar Şeyh Nevvaf ve veliaht prensi Şeyh Meşal'in Kuveyt'i bölgesel güç merkezi Suudi Arabistan ile daha yakın bir çizgiye getirdiği görüşünde. REKLAM Kuveyt kraliyet sarayı üç yıldan biraz fazla süredir hükümdar olan Kuveyt Emiri Şeyh Nevvaf el-Ahmed el-Cabir es-Sabah'ın 86 yaşında vefat ettiğini duyurdu. Ölüm nedeni hemen açıklanmayan emir, geçen ayın sonlarında acil bir sağlık sorunu olarak nitelendirilen bir nedenle hastaneye kaldırılmıştı.  Emirin vefatı nedeniyle üpetrol zengini Körfez ülkesinde 40 günlük yas ilan edilirken, resmi dairelerin üç gün süreyle kapatılacağı belirtildi. Şeyh Nevvaf dönemi sona erdi Şeyh Nevvaf, hükümranlık dönemine ülkede önemli yapısal reformları engelleyen hükümet ve seçilmiş parlamento arasındaki yoğun anlaşmazlığın damgasını vurmasına rağmen, diplomatlar tarafından uzlaştırıcı olarak görülüyordu. Anayasal görevlerinin çoğunu tayin ettiği varisine devretmeden önce, muhaliflerin uzun süredir talep ettiği bir af çıkararak iç siyaset sahnesinde bir yumuşama sağlamaya çalışan Şeyh Nevvaf, dış siyasette de 2020'de görevi devraldığından beri komşularla ilişkileri dengeleyen politika izledi. Analistler ve diplomatlar Şeyh Nevvaf ve veliaht prensi Şeyh Meşal'in Kuveyt'i bölgesel güç merkezi Suudi Arabistan ile daha yakın bir çizgiye getirdiği görüşünde. Yeni Kuveyt Emiri Şeyh Meşal Kuveyt Bakanlar Kurulu, Veliaht Prens Şeyh Meşal el-Ahmed el-Cabir es-Sabah'ın ülkenin yeni emiri olduğunu açıkladı. 27 Eylül 1940’da Kuveyt’te dünyaya gelen Şeyh Meşal, vefat eden emirin yedi kardeşinden biri. Şeyh Meşal, 15 Kasım 2021’de Kuveyt Emiri Şeyh Nevvaf tarafından çıkarılan bir kararla veliaht prens olarak tayin edilmişti.  Kuveyt anayasasına göre veliaht prens otomatik olarak emir oluyor ancak parlamentoda yemin ettikten sonra hükümranlığı devralıyor. Yeni emirin bir varis belirlemek için bir yıla kadar süresi bulunuyor. Hükümetin parlamentoyla ilşkisini yönetmekle görevli veliaht prensin seçiminin El Sabah ailesi içindeki hizip mücadeleleri açığa çıkarması bekleniyor. Kuveyt parlamentoda siyasi partileri yasaklasa da, Sünniler, Şiiler, liberaller ve İslamcılardan oluşan bölgenin en güçlü seçilmiş yasama meclisine ve siyasi tartışmalara sahip, bölgenin siyasi açıdan en liberal devletlerinden biri. Suudi Arabistan ve Irak ile sınır komşusu olan ve dünyanın yedinci en büyük petrol rezervlerine sahip ülkesi Kuveyt, 1990 yılında Irak tarafından işgal edilmişti. 1991 yılında ABD'nin öncülüğünde başlatılan birinci Körfez Savaşı sonrasında Irak yenilgiye uğratılmış ve Kuveyt özgürlüğüne kavuşturulmuştu."
indyturk,"İtalya'da Başbakan Giorgia Meloni'nin aşırı sağcı partisi İtalya'nın Kardeşleri'nin (FdI) geleneksel siyaset festivali etkinliği ""Atreju""ya katılan SpaceX, Tesla ve X firmalarının sahibi iş insanı Elon Musk burada güncel meselelere yaklaşımlarını paylaştı.
Konuşma yapacağı platforma küçük oğluyla gelen Musk, insanlığın medeniyetini sürdürebilmesi için çocuk yapması gerektiğini belirterek ""Çocuk sahibi olmanın önemli olduğunu vurgulamak istiyorum. Eğer çocuklar olmazsa 'gelecek nesil' diye bir şey olmayacak. Bu, çok temel bir konu"" ifadesini kullandı.
Göçün, bu demografik düşüşün önüne geçip geçemeyeceği sorusuna Musk, ""Sanayileşmiş ülkelerin demografisindeki gerilemeyi göç çözemez. Tüm insanlara ve hükûmet liderlerine tavsiyem; yeni bir nesil yaratmak için çocuk sahibi olduğunuzdan emin olun"" yanıtını verdi.
Musk, doğum oranlarının İtalya’da da düşük olduğunu işaret ederek ""İtalya, yatırım yapmak için iyi bir yer ama daha çok çocuğunuz olmalı. Burası inanılmaz bir ülke ve İtalyanlar olağanüstü ama bir şirketin yatırım yapması gerekiyorsa, şirket şu soruyu sorar; yeterli sayıda insan çalışacak mı?"" dedi.
Yasal göçten yana olduğunu vurgulayan Musk şöyle devam etti:

Yasal göçün artırılması gerektiğinden yanayım. Yasal şekilde dürüst biçimde gelenleri, kültürün bir parçası olmak isteyenleri ve çok çalışıp ekonomiye katkıda bulunanları hoş karşılamamız lazım. Ama tabii giriş süreci için onay süreci lazım. Bir filtre olmazsa kimin geldiğini nereden bilebilirsin? 'Tüm kaçak göçmenler suçlu' demiyorum, yanlış anlaşılmasın çoğu dürüsttür de ama bir süreçten geçmeleri gerekiyor.

""Orta vadede, petrol ve doğalgazı şeytanlaştırmamalıyız""
Herkesin çevreye duyarlıymış gibi davrandığını ifade eden Musk, ""Ben bir çevreciyim, sürdürülebilir bir dünyaya ve geleceğe sahip olmalıyız. Ben ve şirketlerim, bu konuda bir şeyler yapıyoruz. İklim değişikliğine uzun vadede dikkat edilmesi doğru ama kısa vadede abarttığımız izlenimine sahibim. Orta vadede, petrol ve doğal gazı şeytanlaştırmamalıyız."" diye konuştu.
Musk, çevreci gençlerin geleceğe olan inancını kaybetmemesi ve umutlu olması gerektiğini vurguladı.
""Reklam verenler X'e geri dönüyor""
Sahibi olduğu X platformunda yaptığı yorumlardan dolayı bazı reklam veren şirketlerin, X'i terk etmesine de değinen ve Disney’i hedef alan Musk, ""İfade özgürlüğü, demokrasinin temeli. Reklam verenler, X'e geri dönüyor. Bu söylediğim bir şeyle ilgiliydi. Reklamcılar bunu hep yapar, önce sinirlenirler sonra sakinleşip geri dönerler"" dedi.
Musk, İtalyan fizikçi Enrico Fermi'ye hayranlık duyduğunu belirterek ""Uzaylılara dair bir kanıt yok. Hiç uzaylı görmedim. Evrenin bu tarafındaki tek bilinçli varlık biziz. Bilinçli olmak kolay bir şey değil"" ifadesini kullandı.
Independent Türkçe, AA
Elon MuskTeslaMusk, ""Tüm insanlara ve hükûmet liderlerine tavsiyem; yeni bir nesil yaratmak için çocuk sahibi olduğunuzdan emin olun"" dediCumartesi, Aralık 16, 2023 - 18:30Main image: 
Fotoğraf: Reuters

HaberType: newsSEO Title: Elon Musk'tan ""Çocuk yapın"" çağrısıcopyright Independentturkish: "
indyturk,"DEM Parti Genel Başkanı Tuncer Bakırhan, PM toplantısının ardından partisinin genel merkezinde basın toplantısı düzenledi.
“Emekten ve özgürlükten yana olanlar siyasette yeni bir yol arayışında” diyen  Bakırhan, “Ülkemizde de siyaset halkların yararına işlemiyor. Bunu hep birlikte takip ediyoruz. Siyaset; dışarıda uzlaşmacı bir yöntem izlerken, içeride ise kutuplaştırıcı ret ve inkar anlayışını devam ettiriyor, baskı politikalarını her geçen gün devam ettirmeye çalışıyor. Bu da önümüzdeki dönem başta partimiz olmak üzere Türkiye demokrasi güçlerini zor günlerin beklediğinin, zor bir mücadele sürecine girdiğimizin göstergelerinden biridir” ifadelerini kullandı.

fazla oku
Bu bölüm, konuyla ilgili referans noktalarını içerir. (Related Nodes field)

“Türkiye’de siyasal gündem çok hızlı değişiyor, değiştiriliyor” diyen Bakırhan konuşmasında özetle şunları söyledi:

Yakın zamanda İsrail-Filistin arasındaki savaş ve çatışmalar yoğun bir şekilde basın organları ve kamuoyunda geniş yer ediniyordu. Ancak bu iki yüzlü siyaset, İsrail ile olan gizli hatta aleni anlaşmalardan dolayı Filistin halkının yaşamış olduğu dramı Türkiye halkının gündeminden düşürmeye çalışıyor. Gerçek gündemler sümen altı edilmeye çalışılıyor. Ciddi toplumsal ve ekonomik sorunlar yaşanıyor ama Türkiye’deki gündemlere baktığımız zaman güllük gülistanlık bir tablo biz emekçilere, Kürtlere ve yoksullara sunulmaya çalışılıyor. Birçok mesele de savaş tamtamları ve beka meselesiyle gizlenmeye çalışılıyor. Toplum, kandırılmaya çalışılıyor. Bizler dün olduğu gibi yine hakikati ve toplumu savunmaya devam edeceğiz. Bu toplumu manipüle eden, sürekli kendisine göre gündem değiştiren siyaset karşısında her zamankinden daha güçlü şekilde halklarımızı savunmaya, gerçekleri dillendirmeye devam edeceğiz.  

Meclis’te mangal şov yaptılar

Tokat Erbaa’da Hakan Yıldırım isimli bir seyyar satıcı bütün ekonomi sıkıntılara rağmen geçimini bir tezgahla sağlamaya çalışıyordu. Bu tezgahına da el konulunca artık Hakan Yıldırım’ın yapabileceği bir şey olmadığı için kendisini yakmak zorunda kaldı. Gerçekten bu zorlu koşulların bir örneğidir.

Tokat’ta bir emekçi canına kast etmeye çalışırken, aynı gün Diyarbakır’da bir avukat arkadaşımız intihar ederken, maalesef Meclis bahçesinde bir iktidar partisinin milletvekili Diyarbakır’dan getirdiği yüzlerce kilo ciğerle mangal şovu yapıyordu. Bu iki olay Türkiye’deki ekonomik düzenin yarattığı krizlerin iki örneğidir. Bir tarafta küçük bir azınlık mangal şov yaparken, iyi bir yaşam sürerken, iktidarın bütün olanaklarından yararlanırken; diğer tarafta toplumun yüzde 80’nin oluşturan insanlar geçim sıkıntısıyla yüz yüze. İşte biz bu manzaraya itiraz ediyoruz. Daha adil, daha eşitlikçi bir ekonomik sistemin olması mücadelesini yürütüyoruz. 

Çok önemli bir viraja girdik

Ekonomik gündemin yanında iki temel gündemimiz daha var. Bir tanesi yerel seçimler. Çok önemli bir viraja girdik. Tartışmalarımızda sona doğru yaklaştırıyoruz. Bu toplantıda da bu konuda önemli kararlar ortaya çıkacak. Bir diğeri ise mutlak tecride son vererek Kürt sorununun demokratik çözümünü sağlamak. Bu iki gündem ekonomik krizle birlikte önümüzdeki günlerin temel çalışma gündemleri olacak. Yaklaşık 20 gündür cezaevlerinde tutsaklar “Sayın Öcalan’a özgürlük, Kürt sorununa demokratik çözüm” adı altında açlık grevindeler. Cezaevindeki tutsakların bu talebinin gerçekleştirilebilir olduğunu belirtiyor, bu konuda en başta hükümet yetkilileri ve toplumu duyarlı olmaya çağırıyoruz. Artık bu tecrit politikası ile bir yere varılmadığını hep birlikte görüyor ve yaşıyoruz. Bizim için tecridin kırılması ve Kürt sorununda demokratik çözüm hayati öneme sahiptir. Kürt halkı bir yüzyıl daha esaret altında kalmayacaktır. Bunu en başta iktidar ve herkesin böyle bir bilmesi gerekiyor. İktidar ve siyasi partiler başta olmak üzere Kürt sorununda demokratik çözüm için siyaset üretmeyenlerin samimiyetini bizler sorguluyoruz, halklarımız sorguluyor. Bilinmeli ki başta Kürt meselesi olmak üzere Türkiye’nin temel meselelerine kulak tıkayanlar, bir gün geçmişteki iktidarlar gibi tarih olmayla yüz yüze kalacaklardır.

. 
Kayyımlarla hesaplaşacağımız bir seçim olacaktır

Diğer önemli gündemimiz de yerel seçimlerdir. Parti Meclisimizin bu toplantısı, Türkiye siyasi tarihinde önemli bir dönemece işaret eden 2024 yılında yapılacak yerel seçimlerin aynı zamanda kaderini de belirleyecektir. Biz bu toplantıdaki tartışmalar sonucunda bir çerçeve, bir yol haritası ortaya çıkacağına eminiz. Herkesin gözü partimizin vereceği bu kararlarda olacaktır. Bu seçim, sadece Türkiye halkları değil partimiz açısından da önemli sonuçlar doğuracaktır. Bu seçim, Kürt halkının iradesine ipotek koyarak atanan kayyımlarla hesaplaşacağımız bir seçim olacaktır. Kayyım, Kürt halkının temel sorunudur. Bu sebeple sadece kayyım atanan kentleri değil aynı zamanda bölgede, Kürdistan coğrafyasında kötü yönetilen belediyeleri de demokratik yerel yönetimler anlayışımızla buluşturacağız. İrademizin yok sayılmasına bu sefer kesinlikle halklarımızla birlikte geçit vermeyeceğiz. 

Halklarımız kayyımların yaratmış olduğu olumsuzluklardan bıktı

 Sadece yerel yönetimleri almayacağız, aynı zamanda halkımızla birlikte bu iradeye kayyım atanmaması için var gücümüzle belediyelerimizi ve kentlerimizi savunacağız. Kayyımlar sadece irade gaspı değildir. Bölgeden gelen birçok arkadaşımız bunu yakinen biliyor. Kayyımlar pek çok sorunu da beraberinde büyüterek varlıklarına devam ediyorlar. Yolsuzluklar aleni bir şekilde ortada, hizmet desen hizmet yok. Ciddi bir hizmet eksikliği yaşanıyor. Kadına, Kürt’e, ötekiye ayrımcılık had safhada. Kayırmacılık desen kayyım biraz da kayırmacılıktır. O kentten olmayan insanların o kentin olanaklarını çarçur ettiklerini hep birlikte izliyoruz. Bu problemler büyümüştür. Başta Kürtler olmak üzere halklarımız kayyımların bu tutumlarının yaratmış olduğu olumsuzluklardan bıktı. Önümüzdeki seçimlerde kayyımları kentlerimizden göndereceğiz. Bu seçim, irade ve özgürlük yürüyüşümüzde önemli bir duraktır. 14 Mayıs’ta bizim için “siyasi etkisi yok” diyenlere, bu seçimde nasıl bir etkimiz olduğunu, nasıl belirleyici ve stratejik bir noktada bulunduğumuzu hep birlikte hatırlatacağız. “Buradayız, em li virin” demeye devam edeceğiz.

Yedek güç değiliz

Bizim dahil olmadığımız birçok tartışmada partimiz adına birçok yorum yapılıyor, tartışma yapılıyor. Partimizin nasıl bir politik tutum takınacağı tartışılıyor, yazılıyor, çiziliyor. Şunu belirtmek istiyoruz: Biz kimsenin ilk yardım çantası değiliz. Sandıkta başı gözü yarılana, her daim pansuman için yetişecek yedek güç değiliz. Bizim için toplumu yok sayanlar, sermayeyle kol gezenler meşru değildir, partisinin bir önemi yoktur. Bizim için yolsuzluk yapan hırsızdır, partisinin bir önemi yoktur. İster ampul ister ok olsun; her kim ki demokrasiden ve Kürt sorununun demokratik çözümünden kaçıyorsa, en temel belediyecilik hizmetlerini bile yapamıyorsa biz karşısındayız. Bu yerellerde de demokratik yerel yönetimler anlayışımızın kazanması için var gücümüzle çalışacağımızı, bu kentleri yönetmeye talip olduğumuzu da belirtmek istiyorum.  

Bizler demokratik zemin, evrensel insan hakları ve hukukun genel ilkeleri ile kadın eşitlikçi politikalarımızdan asla taviz vermeyeceğiz. Bunları pazarlık konusu yapmayacağız. Bizim için en önemli değerler bunlardır. Bu değerler ışığında işbirliğine de güç birliğine de varız. Tartışılmayacak bu ilkeler üzerinden işbirliği yapmak isteyen bütün siyasal ve toplum yapılara da kapımız açıktır. Tercih ve kararlarımızı belirleyecek olan da bu temel zemin ve ilkelere yaklaşımdır. Çünkü biz bu ülkenin sorunlarına gerçekçi çözümler üreten tek partiyiz. Bu parti, halk gerçekliğini esas almayan bir denklem kurulmasına asla izin vermeyecektir. Yani bizim olmadığımız hiçbir denklemin tarafı olmayacağız, buna izin vermeyeceğiz.

Independent Türkçe 
DEM PARTİTuncer BakırhanBakırhan, “Sandıkta başı gözü yarılana, her daim pansuman için yetişecek yedek güç değiliz” dedi Cumartesi, Aralık 16, 2023 - 15:45Main image: 
Fotoğraf: AA

Siyasetrelated nodes: DEM Parti Eş Genel Başkanı Bakırhan: Yerel seçimlere damga vurmaya hazırızHEDEP adını DEM Parti olarak değiştirdiType: newsSEO Title: DEM Parti Eş Genel Başkanı Bakırhan: Kimsenin ilk yardım çantası değilizcopyright Independentturkish: "
sozcu,"
Bankanın ismi açıklanmayan bir müşterisi, hesabında para olmadığını görünce müşteri hizmetlerini arayarak nedenini sordu.
Şikayeti değerlendiren banka, müşterinin haklı olduğunu, hesaptaki paranın kendisinin bilgisi olmadan başka hesaba aktarıldığını tespit etti. Bunun üzerine banka bir müfettiş görevlendirerek Elbistan’a gönderdi.
HAREKETSİZ HESAPLARDAN PARA ÇEKİLMİŞ
Müfettiş yaptığı incelemede, şikayetçi müşteri dışında başka müşterilerin hesaplarındaki paraların da çekildiğini belirledi.
Araştırmasını derinleştiren müfettiş, banka çalışanı Cengiz Biber’in uzun zamandır hareketsiz olan 20 civarındaki hesaptan yaklaşık 50 milyon lirayı zimmetine geçirdiğini tespit etti.
Bunun üzerine, Cengiz Biber hakkında Elbistan Cumhuriyet Başsavcılığı’na suç duyurusunda bulunuldu.
Başlatılan soruşturma kapsamında Cengiz Biber, perşembe günü Kaçakçılık ve Organize Suçlarla Mücadele Büro Amirliği ekiplerince gözaltına alındı.
Emniyette susma hakkını kullanan Biber, dün sabah saatlerinde adliyeye sevk edildi. Savcılık sorgusunda suçunu itiraf ettiği belirtilen Cengiz Biber, çıkarıldığı nöbetçi hakimlikçe tutuklanarak cezaevine konuldu.

MÜFETTİŞ GELİNCE TAŞINMAZLARI DEVRETTİ
İddiaya göre, Cengiz Biber, ticaret yapmaya başladı ve işlerinin kötü gitmesi üzerine uzun zamandır hareketsiz olan bir hesaptan para çekti ancak bu paranın da işlerini düzeltmeye yetmedi. Ardından Biber, diğer hesaplardan da para çekti.
Müfettiş gelince her şeyin ortaya çıkacağını anlayan Cengiz Biber’in üzerindeki ev, otomobil gibi taşınmazları başkalarına devrettiği öne sürüldü. "
euronews,"By Euronews Yayınlanma Tarihi 16/12/2023 - 12:49  Haberi paylaşın YorumlarSünni nüfusun ağırlıklı olduğu eyalette infazdan bir gün önce 11 güvenlik görevlisi öldürülmüştü. REKLAM İran resmi IRNA haber ajansının bildirdiğine göre, İsrail istihbarat servisi Mossad için çalışan bir istihbarat görevlisi cumartesi günü İran'ın güneydoğusundaki Sistan-Belucistan eyaletinde idam edildi. IRNA'nın haberinde ""Bu kişi yabancı servislerle, özellikle de Mossad ile iletişim kurmuş, gizli bilgiler toplamış ve ortaklarının da katılımıyla Mossad da dahil olmak üzere yabancı servislere belge sağlamıştır"" denildi.  Haberde ismi açıklanmayan ajanın gizli bilgileri ""İslam Cumhuriyeti karşıtı grup ve örgütlere propaganda yapmak"" amacıyla bir ""Mossad görevlisine"" teslim ettiği ifade edildi, ancak teslimatın nerede yapıldığına dair bilgi verilmedi.  Eyaletteki Zahedan hapishanesinde gerçekleşen infaz, Beluç militanlarının Rask kentindeki bir polis karakoluna saldırarak 11 güvenlik görevlisini öldürdüğü olaydan bir gün sonra gerçekleşti. Afganistan ve Pakistan sınırındaki yoksul Sistan-Belucistan eyaleti uzun zamandır sıklıkla güvenlik güçleri ile Sünni militanlar arasında çatışmalara sahne oluyor.  Ülke genelinde Şii nüfus çoğunlukta iken, eyaletin nüfusu ağırlıklı olarak Sünni Müslümanlardan oluşuyor."
sozcu,"
TBMM Genel Kurulu’nda 2024 Yılı Merkezi Yönetim Bütçe Kanunu Teklifi görüşmeleri devam ediyor. Genel Kurul'da bugün Sağlık Bakanlığı, İçişleri Bakanlığı ile bağlı kuruluşların bütçeleri görüşülüyor. İçişleri Bakanlığı bütçesi üzerine söz alan İYİ Parti Çanakkale Milletvekili Rıdvan Uz, yabancılara dönük satışlar ve bu kişilere TC. vatandaşlığı verilmesine değindi. Uz, göçmen sorununa da değinerel şunları söyledi:
""YABANCIYA SATIŞI 300 DÖNÜME ÇIKARTTINIZ"" 
-  Türkiye, uyguladığı dış politika sayesinde maalesef Pakistanlaşma, Afganistanlaşma ve Filistinleşme sürecine doğru hızla gidiyor. Bilindiği üzere, tarihte bazı Filistinliler topraklarını Yahudilere satmıştı. İsrail'in Filistin topraklarında kök salmasına vesile olan bu davranışı sonucunda onların hatalarını ne hazindir ki torunları canlarıyla ödüyor. Türkiye'nin önümüzdeki süreçte benzer sıkıntılar yaşaması muhtemeldir. Neden? Çünkü 2012'de çıkardığınız bir yasayla, bir kanun değişikliğiyle Türkiye'de 25 dönüm olan yabancıya satışı 300 dönüme kadar çıkartınız, tebrik ediyorum.

""KANLA ALINANI PARAYLA SATAMAZSINIZ""
- Yabancı uyruklu kişiler 2022 yılında 16 milyon metrekare arazi ve 30 milyon metrekare taşınmaz almış ve AK Parti iktidarı çok büyük miktarda toprak ve konut satışı gerçekleştirmiş. Bu satışlarla yabancılar Türk vatandaşlığını da para karşılığında satın almaktadır. Bu kürsüden sizleri uyarıyorum: Kanla alınanı parayla satamazsınız.  "
sozcu,"
Edirne ve Kırklareli'nin yüksek kesimlerinde kar etkili oldu. Trakya'da bir süredir etkisini sürdüren sağanak yüksek kesimlerde yerini kara bıraktı. Kırklareli'nin Bulgaristan'a ulaşımın sağlandığı Dereköy Sınır Kapısı ile Demirköy ilçesinin Mahyatepe ve Jandarma Kule mevkilerinde kar etkili oldu. 

Kar nedeniyle Dereköy Sınır Kapısı'na ulaşım güçlükle sağlanıyor. Karayolları 15. Şube Şefliği ile İl Özel İdaresi ekipleri, karın etkili olduğu bölgelerde çalışma yaptı. 
Edirne'nin yüksek kesimlerinde de kar yağışı başladı. Hamzabeyli köyündeki sağanak havanın soğumasıyla kar yağışına dönüştü.  Hava sıcaklığının 3 derece ölçüldüğü bölgede karın aralıklarla devam etmesi bekleniyor. 

Tekirdağ'da da kent merkezinde ve ilçelerde zaman zaman sağanak etkili oluyor. Hava sıcaklığının 8 derece ölçüldüğü kentte sağanağın gün boyunca devam etmesi bekleniyor. 
DOĞU KARADENİZ İÇİN SAĞANAK VE KAR UYARISI 
Öte yandan Doğu Karadeniz için kuvvetli sağanak ve yüksek kesimlerde yoğun kar uyarısı yapıldı. 
Meteoroloji Genel Müdürlüğü'nden yapılan açıklamaya göre, gece saatlerinden itibaren Giresun'un doğusu, Trabzon'un batı ve doğu ilçeleri ile Rize ve Artvin'de kuvvetli ve yer yer çok kuvvetli (metrekareye 21-75 kilogram) sağanak bekleniyor. Yağışların 300-400 metre üzeri yüksek kesimlerde yoğun (20 santimetre üzeri) karla karışık yağmur ve kar şeklinde olacağı tahmin ediliyor. 
Kuvvetli yağışlarla oluşabilecek ulaşımda aksamalar, su baskını, heyelan, yüksek kesimlerde buzlanma ve don gibi olumsuzluklara karşı dikkatli ve tedbirli olunması gerekiyor.

ÇANAKKALE'DE KÜÇÜKBAŞLAR SELE KAPILDI 
Diğer taraftan Çanakkale'nin Kalabaklı köyünde derenin taşması sonucu bazı evleri su bastı. Merkeze bağlı Kalabaklı köyünden geçen derenin taşıdığı yoğun sel suları ve çamurlar, bazı evlerde hasar oluşturdu. Bazı köylülerin küçükbaşları ise taşkın nedeniyle kayboldu. Kimi köylüler geceyi komşularının yanında geçirirken, kimileri de il merkezindeki yakınlarında konakladı. 
MOTOSİKLET KULLANIMI YASAKLANDI
Kepez Deresi'ndeki taşkın bugün de sürerken, ekipler bölgedeki su tahliye ve temizlik çalışmalarını sürdürüyor. Çanakkale Valiliği tarafından alınan kararla, dün saat 19.00'dan başlayarak, yarın saat 09.00'a kadar kent genelinde motosiklet, skuter, elektrikli skuter ve motosikletli kuryelerin trafiğe çıkması tedbiren yasaklandı.

BAKIRKÖY'DE İKİ ARAÇ MAHSUR KALDI 
Ayrıca DHA'nın aktarığına göre İstanbul'da etkili olan sağanak yağış nedeniyle Bakırköy Florya Caddesi sular altında kaldı. İki araç caddede mahsur kaldı. İSKİ ekipleri yağmur suyunu tahliye çalışması başlattı.  "
