source,content
bbcturk,"Gwyneth Paltrow, 2016 yılında ABD’nin Utah eyaletinde gerçekleşen bir kayak kazasıyla ilişkili olarak suçsuz bulundu.Emekli göz doktoru Terry Sanderson, ünlü oyuncu Paltrow’un kayak merkezinde kendisine arkadan çarptığını, bunun da hayatını etkileyecek sağlık sorunlarına yol açtığını iddia ediyordu.76 yaşındaki Sanderson, Paltrow’un kendisine tazminat olarak 300 bin dolar ödemesini talep etmekteydi.50 yaşındaki oyuncu Paltrow ise iddiaları reddederek asıl Sanderson’ın kendisine arkadan çarptığını öne sürmüştü.Paltrow, açtığı karşı davada yasal masraflar yüzünden 1 dolar tazminat talep etmişti.Jüri yaptığı değerlendirme sonucunda Paltrow’u suçsuz bulduğunu açıkladı.Kararın açıklanmasını sakin bir şekilde dinleyen Paltrow, mahkeme salonunu terk ederken Sanderson’a hafifçe eğilerek, “İyi olmanızı diliyorum” dedi.Ünlü oyuncu gazetecilere dava sonucuyla ilgili olarak yorum yapmazken, avukatı müvekkilinin “her zaman için inandığı değerleri” savunduğunu söyledi.Dava sırasında ilginç anlar da yaşandı.İki tarafın da avukatlarının, diğer kişinin kazaya yol açtığını ispatlamaya çalışırken zorlandığı, bu yüzden komik anların ortaya çıktığı görüldü.Sanderson, başlangıç seviyesindeki kişilerin kaydığı yamaçta Paltrow’un kendisine arkadan çarptığını, oyuncunun kayarak uzaklaşırken kendisinin bilinçsiz ve kaburga kemikleri kırılmış bir şekilde yattığını öne sürdü.Kazanın beyin travmasına yol açtığını ifade etti.Paltrow ise tanık kürsüsünde yaşanan olayı tam tersi bir şekilde anlattı.Oyuncu, asıl Sanderson’ın kendisine arkadan çarptığını belirtti. Kayarak olay yerinden uzaklaşırken doktorun bilincinin açık olduğunu hatta kendisinden özür dilediğini öne sürdü.Paltrow'un avukatları Sanderson'ın bu kazanın ardından Güney Amerika, Avrupa ve Fas’a gittiğini, bu yüzden kazanın hayatını değiştirecek bir yaralanmaya yol açmadığını ispatlamaya çalıştı.Sanderson’ı, müvekkilleri Paltrow’un ününden faydalanmaya çalışmakla suçladılar, kazanın ardından doktorun kızına, “Ünlü oldum” dediği bir mail attığını belirttiler.Doktor Sanderson’ın avukatlarının Paltrow’a boyu, giyim tarzı, şarkıcı Taylor Swift ile ne kadar yakın olduğunu sorduğu anlar ise davanın tuhaf yaşanmışlıkları olarak kayda geçti.Sanderson’ın avukatlarından olan Kristan VanOrman, duruşma sırasında Paltrow'un “boyunu kıskandığını” söyledi.Kararın ardından gazetecilere konuşan VanOrman, “Her gün medyanın bu ilgisiyle uğraşmak zorunda kaldığı için Paltrow’u ayrıca takdir etmeye başladım” dedi."
bbcturk,"ABD’nin eski başkanı Donald Trump, eski porno yıldızı Stormy Daniels'a yapılan 130 bin dolarlık ‘sus payı’ ödemesiyle ilgili mahkemeye çıkacak.Büyük jüri, Trump’a yöneltilen suçlamaların araştırılmasına ve bu yüzden bir dava açılmasına karar verdi.Trump böylece ABD tarihinde hakkında ceza davası açılan ilk eski başkan oldu.Trump’a yöneltilecek suçlamaların tam olarak ne olduğu henüz açıklanmadı.Trump ise iddiaları reddediyor.Florida’da yaşayan Trump’ın New York’ta mahkemeye çıkması gerekecek.New York’taki savcılık, yapılan ödemenin kayda geçirilişinde sahtecilik yapılıp yapılmadığını araştırıyordu.ABD'de bir suçu örtbas etmeye çalışmak, o suçun niteliği ne olursa olsun daha ciddi bir yasal sürecin başlamasına neden olabiliyor.Suç duyurusunda bulunup bulunmama kararı New York Şehri Bölge Savcısı Alvin Bragg'a ait idi.Bragg soruşturmayla ilgili yeterli kanıt olup olmadığını araştıran büyük bir jüri kurmuştu.Stormy Daniels davası, yeniden aday olmak istediği bu dönemde Trump'ı zora sokabilir.Ancak ABD yasalarına göre suçlu bulunan biri bile başkan adayı olabiliyor.Gerçek ismi Stephanie Clifford olan Stormy Daniels, porno sektöründe oyuncu olarak çalışmaya başlamıştı, 2004 yılından sonra ise senaryo yazmaya ve film yönetmeye başladı.2010 yılında Louisiana'dan senatörlüğe aday olmayı düşünen Daniels, daha sonra adaylığının ciddiye alınmadığı gerekçesiyle geri çekilme kararı aldı.Stormy Daniels, Donald Trump ile 2006'da tanıştığını söylüyor.2011'de In Touch Weekly dergisine verdiği bir röportajda Daniels, Trump'ın kendisini yemeğe davet ettiğini ve Trump ile  otel odasında buluştuğunu anlattı.Daniels'ın bu röportajının tamamı 2018 yılına kadar yayımlanmadı.Röportajda Daniels, ""Koltukta uzanmış televizyon izliyordu. Pijama giyiyordu"" dedi.Daniels ikisinin ilişki yaşadığını iddia ederken Trump'ın avukatı bu iddiayı ""şiddetli bir şekilde"" reddediyor.Eğer Daniels'ın anlattıkları doğruysa, iddiaya konu olan olay, Trump'ın en küçük çocuğu Barron'un doğumundan sadece dört ay sonra yaşanmış olabilir.Mart 2018'de bir televizyon kanalına verdiği röportajda Daniels, ilişki hakkında sessiz kalmak için tehdit edildiğini aktardı.Daniels, In Touch Weekly röportajını kabul ettikten kısa bir süre sonra, Las Vegas'taki otoparkta bir adamın kendisine yaklaşıp, ""Trump'ı rahat bırakmasını"" söylediğini iddia etti.Ocak 2018'de Wall Street Journal, Trump'ın avukatı Michael Cohen'in Daniels'a 2016 yılında bir ödeme yaptığını haberleştirdi.Habere göre Daniels’a sessiz kalması için 130 bin dolar ödendi.Wall Street Journal'ın iddiası doğruysa bu olay, Trump'ın kazandığı ABD başkanlık seçiminden bir ay önce yaşandı.Ödeme tek başına yasa dışı değil.Ancak Trump'ın Cohen'e yaptığı ödeme, yasal ücret olarak kayda geçirildi.Savcılar bunun resmi kayıtlarda sahtecilik olarak yorumlanabileceğini ve suç teşkil edebileceğini savunuyor.Savcılar ayrıca bunun seçim yasasını çiğnediğini de iddia edebilir çünkü Trump'ın Daniels'a yaptığı ödemeleri saklama girişimi, seçmenlerin porno yıldızıyla ilişkisi olduğunu bilmesini istememesinden kaynaklanıyordu.ABD yasalarına göre, bir suçu örtbas etmek daha ciddi bir suçlama sayılıyor."
donanimhaber,"Bahar Fırsatları indirimlerinden 4 Nisan'a kadar sadece Prime üyeleri yararlanacak. 4-10 Nisan tarihlerinde ise tüm Amazon müşterileri indirimli fiyatlardan alışveriş yapabilecek. Ayda 7,90 TL'ye Prime'a üye olarak indirimlerden stoklar tükenmeden yararlanabilirsiniz.




Amazon Bahar Fırsatları’nda indirimli televizyonlar


7 ay önce eklendi






Kampanya dönemi boyunca uzun soluklu indirimlere ek olarak Flaş Fırsatlar etiketiyle kısa süreli indirimler de yapılıyor. Bugüne özel indirimleri sizin için listeledik.Tüm indirimler için: Amazon Bahar Fırsatları"
donanimhaber,"Wood Mackenzie’nin yeni araştırmasına göre, yedi yıl önce Tesla’nın Solar Roof teknolojisini piyasaya sürmesinden bu yana ABD’de sadece 3000 adet sistem kuruldu. Bu kurulum oranı, Tesla’nın daha önce duyurduğu hedeflerinin oldukça altında kalıyor. Tesla, 2019 yılının sonunda haftada 1000 Solar Roof üretmeyi ve 2020’nin ilk yarısında ise haftada 1000 adet kurulum yapmayı hedefliyordu.




Tesla, Türkiye için tarih verdi!


7 ay önce eklendi






"
donanimhaber,"Birleşik Krallık'taki Durham Üniversitesi liderliğindeki ekip, ön plandaki bir galaksinin daha uzaktaki bir nesneden gelen ışığı bükerek büyüttüğü yerçekimsel/kütleçekimsel mercekleme ve DiRAC HPC tesisindeki süper bilgisayar simülasyonlarını kullanarak ışığın Dünya'dan 2 milyar ışıkyılı uzaklıktaki galaksinin içindeki bir kara delik tarafından nasıl büküldüğünü yakından inceledi. Kütleçekimsel merceklenme olarak bilinen bu etki, kütleçekiminin aşırı büyük nesnelerin etrafındaki ışığı bükmesiyle oluşuyor. Doğanın kendi teleskopu olarak bilinen bu olay, astronomların insan yapımı teleskoplarla düzgün bir şekilde görülemeyecek kadar uzaktaki nesneleri incelemesini sağlıyor.




Bilim insanları Dünya'ya dönük süper kütleli kara delik keşfetti


7 ay önce eklendi






Ekip, Hubble Uzay Teleskobu tarafından çekilen bir dizi görüntüde ön plandaki nesnenin büyütülmesini analiz ederek kara deliğin boyutuna ulaştı. Bilim insanları sofistike bilgisayar modellemeleri kullanarak kara deliğin bulunduğu ön plandaki galaksinin etrafında ışığın ne kadar büküldüğünü simüle edebildiler.Normalde karadelikler etraflarındaki diskte topladıkları malzemelerin yaydıkları ışınlar vasıtasıyla tespit ediliyor. Ancak evrende çok aktif olmayan kara deliklerinde olduğu biliniyor. Bu kara deliklerden çok fazla ışık yayılmadığı için mevut yöntemlerle onları tespit etmek mümkün olmuyor. Fakat gökbilimciler kütleçekimsel mercekleme ile bu kısıtlamayı aşmayı başardı. Dolayısıyla Abell 1201 galaksi kümesinin galaksilerinden birinde bulunan kara delik, bu teknik kullanılarak keşfedilen ilk kara delik olma unvanına sahip. Keşfin nasıl yapıldığı aşağıdaki videdan izleyebilirsiniz."
donanimhaber,"Opera gibi okuma moduna sahip olan tarayıcılar, istenilen web sayfasının tamamını okumaya uygun hale dönüştürüyor. Ancak Chrome okuma modu, bunu sağ tarafta açılan bir yan panel vasıtasıyla yapıyor. Bu panel aracılığıyla özelleştirmeler de yapılabiliyor. Chrome masaüstü tarayıcısı ve ChromeOS için resmi olarak duyurulan okuma modunda kullanıcılar, metnin aralık, yazı tipi boyutu, yazı tipi ve renkler gibi farklı yönlerini özelleştirebilecek. Bunun yanına panelin kendisinin de boyutu değiştirilebilirken arka plan renkleri de düzenlenebiliyor.Google, okuma modunu orijinal web sayfasının yanında ayrı bir panel haline getirerek kullanıcılara hem sade bir metin sunuyor hem de okuma modu etkinleştirildiğinde reklam göstermeye de devam ediyor. Google bu duyuruyu BETT 2023 kapsamında yaptı. Yazılım devi ayrıca daha büyük ekranlı, daha fazla depolama alanına ve daha uzun pil ömrüne sahip 13 yeni Chromebook'u da piyasaya sürdü. Bunlar arasında Acer Chromebook Vero 712, ASUS Chromebook CR11 Flip ve Lenovo 100e Chromebook Gen 4 gibi modeller yer alıyor.




Şirketler, ChatGPT’yi iyi kullananlara çılgın paralar ödüyor


7 ay önce eklendi






Bu arada söylemeyi unutmayalım, Chrome için okuma modu 24 Mayıs 2023'te piyasaya sürülecek olan Chrome 114 ile gelecek. Ek olarak geleneksel bir okuma modu Chroma ayarlarında gizli durumda. Özelliği aktifleştirmek için tarayıcınızın adres çubuğuna ""chrome://flags/#enable-reader-mode"" yazmanız ve ilgili özelliği etkinleştirmeniz yeterli. Tarayıcıyı yeniden başlattığınızda her hangi bir siteyideyken adres çubuğunda okuma modu simgesi belirecektir."
gazetoksijen,sonucyok
gazetoksijen,sonucyok
gazetoksijen,"Ford'dan yapılan açıklamada, şirketin PT Vale Endonezya ve Zhejiang Huayou Cobalt ile küresel sürdürülebilir elektrikli araç endüstrisinin büyümesini desteklemek için nikel anlaşması yaptığı kaydedildi.Açıklamada, anlaşmayla Endonezya'da sürdürülebilir nikel üretiminin artırılması ve elektrikli araç bataryalarının daha uygun fiyatlı hale gelmesine yardımcı olunması için 3 tarafın işbirliği yapacağı kaydedildi.PT Vale Indonesia Tbk ve Zhejiang Huayou Cobalt'ın nikel işleme tesisinin inşaatına kasım ayında başladığı anımsatılan açıklamada, tesisin 2026'da faaliyete geçmesinin beklendiği aktarıldı.Söz konusu işbirliğiyle otomobil endüstrisinin elektrikli araçlara geçişi için gerekli malzemelerin sağlanacağı belirtilen açıklamada, aynı zamanda Endonezya'nın elektrikli araç üretim endüstrisinin geliştirileceği ve Ford'un 2026 sonuna kadar 2 milyon elektrikli araç üretme planını da destekleyeceği ifade edildi."
ekonomim.haber,"AK Parti Teşkilat Başkanlığı sosyal medya hesabından yapılan açıklamada, Cumhurbaşkanı ve AK Parti Genel Başkanı Recep Tayyip Erdoğan'ın tensibiyle İzmir İl Başkanlığına Muhammet Bilal Saygılı, Karabük İl Başkanlığına Ferhat Salt ve Karaman İl Başkanlığına Murat Öztürk'ün atandığı bildirildi.Açıklamada, bu illerde görev yapan eski il başkanlarına, bugüne kadar gösterdikleri özverili çalışma ve gayretleri dolayısıyla teşekkür edildi, yeni il başkanlarına da başarılar dilendi.  "
