source,content
donanimhaber,"Ermeniler, Atatürk dizisinin iptal edilmesi için  Disney Plus’a yoğun baskı uygulanıyor. Sosyal medyada Disney Plus’ı boykot paylaşımları ve dizinin iptal edilmesi çağrıları paylaşılıyor. Ayrıca Amerika Ulusal Ermeni Komitesi (ANCA), sosyal medya hesabından bir paylaşım yaparak Disney Plus’ın Atatürk dizisini iptal etmesini talep etti.Disney Plus, 30 Haziran’da platformdaki kendi orijinal yapımları da dahil olmak üzere Türk yapımı dizi ve filmleri kütüphaneden kaldırdı. Kaçış, Ben Gri, Dünyayla Benim Aramda, Yılbaşı Gecesi, Kral Şakir: Geri Dönüşüm, Recep İvedik 7’ye şu an Türkiye’den ve diğer ülkelerden erişilemiyor.




Apple'dan şaşırtan paylaşım: Popüler dizi Twitter'da yayınlandı


4 ay önce eklendi






Bu gelişmenin ardından Atatük dizisinin iptal edildiğine yönelik dedikodular başladı. Söz konusu iddialar hakkında Disney Plus Türkiye sosyal medya hesabından açıklama yapıldı. Yapılan açıklamaya göre Atatürk dizisi için herhangi bir iptal kararı bulunmuyor. Atatürk dizisi, 2023 yılı içerisinde Disney Plus platformunda yayınlanacak.Disney Plus Türkiye’den yapılan açıklamada şu ifadeye yer verildi:“Orijinal dizi Atatürk çok yakında, Cumhuriyetimizin 100. yılında yayında.”



"
donanimhaber,"Humane Ai Pin hakkında bilinenler şimdilik oldukça sınırlı. Ancak bu cihazın giyilebilir bir projektör olduğunu belirtelim. Böylece kullanıcının giysilerine kolaylıkla entegre edilebiliyor ve üzerindeki projektör, mikrofon ve hoparlör ile bir telefon hissiyatı veriyor.Öyle ki geçtiğimiz nisan ayında gerçekleşen TED konferansında Humane’in kurucu ortağı Imran Chaudhri, cihazı bir sesli asistan olarak kullandı, telefon aramaları yaptı, otomatik olarak günlük özetini aldı, bir çikolata barının besin bilgilerini almak için bir fotoğraf çekti ve eline küçük bir yeşil ekran yansıttı. Ayrıca cihazın simültane çeviri özelliğine de sahip olduğu belirtilmişti.Humane Ai Pin'in nasıl çalıştığı, tam olarak ne işe yarayacağı ve hatta nasıl bir görünümü olacağı hakkında henüz bilinmiyor. Ancak isminin “Pin” olması, cihazın nasıl taşınacağına dair ipuçları veriyor diyebiliriz. Niketim TED’deki sunumunda Chaudhri, cihazı göğüs cebinden çıkararak göstermişti ve daha çok bir kart destesine benziyordu, ancak bunun bir prototip olduğunu unutmamak gerek. Ek olarak basın açıklamasında bu cihaz ''giysiye monte edilebilir aygıt'' olarak tanımlandı. Bu da benzer bir kullanımı ima ediyor.Diğer tarafta Humane Ai Pin'in yapay zekâ desteğiyle de öne çıkacağı belirtiliyor. Bu noktada Humane, AI Pin'in ""bağlamsal ve ortam bilgi işlem etkileşimleri için bir dizi sensör'' içereceğini söylüyor. Ancak çıkış tarihi veya fiyatının ne olacağı gibi sorular henüz yanıt bulmadı. Dolayısıyla Humane AI Pin için bir süre daha beklememiz gerekiyor.




GPS'in yerini alacak teknoloji belli oldu! İlk testler tamamlandı


4 ay önce eklendi






Peki siz Humane AI Pin hakkında neler düşünüyorsunuz? Bilim kurgu filmlerini andıran bu cihaz akıllı telefonların yerini alabilir mi? Görüşlerinizi yorumlar bölümünde bizlerle paylaşmayı unutmayın."
donanimhaber,"Reuters'ta yer alan haberlere göre Getir, İspanya'daki bütün operasyonlarını durdurmayı planlıyor. Kısa süre önce yapılan duyuruda İspanya’nın en büyük işçi sendikası CCOO, Getir’in İspanya’daki faaliyetlerine son vereceğini ve 1.560 çalışanının tamamını işten çıkaracağını açıkladı.Aktarıldığı kadarıyla alınan bu kararın Getir’in son yatırım turunda umduğu kadar fon bulamamasından kaynaklandığını belirtiliyor. Bu noktada şirketin yönetimine eleştiride bulunan CCOO, “İspanya’da nasıl büyüyeceğini bilmeyen, pazar stratejisi olmayan Getir’in feci iş yönetimini kınıyoruz. Bundan en kötü etkilenenler personeller olacak.” dedi.Getir, bu eleştirilere herhangi bir yanıt vermedi. Ancak mevcut çalışanlar için çeşitli tazminat paketleri sunulduğu belirtiliyor.Getir, bu çekilme kararından önce Fransa operasyonlarını sonlandıracağı haberleriyle gündeme gelmişti. Öyle ki iflas başvurusunda bulunan teslimat devi, Fransa hükümetine yönelik  “Yerel makamların dayattığı kompleks yasal ortam ve düzenlemeler şirketin başarısını oldukça zorlaştırdığını“söylemişti.




Getir, Fransa'dan çekiliyor: İşte nedeni


4 ay önce eklendi






Getir'in ülkemizdeki faaliyetlerine ise hız kesmeden devam ettiğini hatırlatalım. Geçen sene N11’e 50 milyon dolar yatırım yaparak hisselerin yüzde 33’ünü satın alan teslimat devi, kısa süre önce N11 hisselerinin tamamını satın aldığını duyurdu."
donanimhaber,"Twitter’da “kullanım limiti aşıldı” sorunu çözümü arıyorsanız boşuna araştırmaya devam edip vaktinizi harcamayın, çünkü bir çözüm yok. Musk’a göre bu sınırlamanın önemli bir sebebi var. Yapılan açıklamada tweet limiti, aşırı veri kazıma ve sistem manipülasyonu olaylarını engellemek için getirilen “geçici” bir sınırlama.



Hatta Musk’a göre bu dolaylı olarak size iyi bile gelebilir: ""Derin bir transtan uyanıyorsun, telefonundan, aileni ve arkadaşlarını görmek için uzaklaşıyorsun""



Öte yandan çoğu kişinin ıskaladığı veya görmek istemediği karanlık bir taraf söz konusu: Açık internet kapanıyor mu? Örneğin, ChatGPT'nin gelişinin ikinci derecenden bir etkisi de açık internet üzerine olacak gibi görünüyor. ChatGPT ve OpenAI’ın yapay zeka çözümleri sayesinde dünyadaki herkes artık veri kazıyabilir. Veri kazımak için ise Twitter, Facebook veya Instagram gibi açık ve devasa platformlar kadar uygun bir mecra yok. Elbette sadece OpenAI değil, tüm yapay zeka çözümleri ile bunlar yapılabilir. Twitter'ın tweetleri görüntülemek için hesap açma zorunluluğunu ve ardından tweet görüntüleme sınırı getirmesi esasında bundan kaynaklanıyor. Bu sınırlama elbette kalıcı olmayacak ama yansıyan sorundan ziyade buna neden olan etmenleri de görmek gerekiyor.




Bir gün içerisinde görüntüleyeceğiniz tweet sayısı sınırlanıyor


4 ay önce eklendi










Twitter’ın eski sahibi ve CEO'su Jack Dorsey de yaşanılan olaydan sonra kendi hesabından bir açıklama yayınladı ve değişikliklere inandığını belirtti: “Twitter'ı yönetmek zordur. Bu stresi kimsenin yaşamasını istemem. Ekibin sahip oldukları kısıtlamalar altında ellerinden gelenin en iyisini yaptığına inanıyorum. Kararları uzaktan eleştirmek kolay... ki ben de bundan suçluyum... ama amacın Twitter'ın geliştiğini görmek olduğunu biliyorum. Gelişecek de. Ve umarım bu yükü hafifletmek için bitcoin ve nostr gibi sansüre gerçekten dirençli açık protokoller üzerine inşa etmeyi düşünürler. Herkes için iyi ve açık interneti korumak için kritik.”Dorsey aynı zamanda Twitter hesabından internet dünyasında kullanılan bir terim olan ve birinin daha fazla dışarıda vakit geçirmesi gerektiği anlamına gelen ""Çimene dokun (Touch grass)"" söylemine işaret eden bir fotoğraf paylaştı. Dorsey’nin aynı zamanda Twitter alternatifi BlueSky platformunu kurduğunu ve platformun, Twitter’a getirilen sınırlamalardan sonra yoğun bir ilgiyle karşılaştığını da belirtelim."
donanimhaber,"Son kırk yılda teknoloji sektöründe yaşananlar göz önüne alındığında bu şaşırtıcı bir başarı. Microsoft 1986'da halka açılarak bir PC yazılımı patlamasına yol açtı. Ardından 1990'ların internet tarayıcıları geldi ve dot-com balonu yıllarına ve e-ticaret, arama ve bilgisayar ağı hisse senetlerinin yükselen fiyatlarına yol açtı. Geçtiğimiz on yıl, şu anda ABD'deki en değerli işletmeler olan trilyon dolarlık şirketlerin ortaya çıkışına tanık oldu.Daha da çarpıcı olanı ise bu başarının, bu yıl ABD ekonomisi hala resesyona girme riski taşırken ve Mart ayında girişim ve startup dünyasının büyük bir kısmının finansal çekirdeği olan Silicon Valley Bank’in çöküşüyle sarsılan bir bankacılık kriziyle karşı karşıyayken gerçekleşiyor olması.




Oracle artık Intel’den işlemci satın almayacak


4 ay önce eklendi






Apple'ın 40 yıl önce piyasaya sürdüğü ilk Lisa bilgisayarın fiyat etiketiyle kıyaslandığında bu fiyat kulağa çok da fazla gelmiyor. Steve Jobs'un kızının adını taşıyan bu bilgisayarın fiyatı 10.000 dolardan başlıyordu ve bu da onu ana akım tüketicilerin çok uzağında tutuyordu. Apple'ın 1983'teki geliri yaklaşık 1 milyar dolardı ya da şirketin 2023'ün ilk çeyreğinde ortalama bir günde kazandığı paraya eşitti.2023 yılı en azından teknoloji şirketleri için güçlü bir şekilde ilerlemeye devam ediyor. Yapay zekanın da etkisiyle yatırımcılar daha fazla harcamaya devam ediyor ancak riskler giderilmiş değil. Tüm bu firmalar bizimle aynı ekonomide bulunuyor. Dolayısıyla ABD’deki resesyon riski ve küresel ölçekte tüketicilerin harcamalarını kısması teknoloji dünyasını etkilemeye devam edecek."
donanimhaber,"




Bir gün içerisinde görüntüleyeceğiniz tweet sayısı sınırlanıyor


4 ay önce eklendi






Google, Hip Hop 50 Limited Edition'ı tanıtırken satmak yerine bunu özel olarak #GiftFromGoogle programı aracılığıyla belirli bir grup kişiye dağıtmayı tercih etti. Google, telefonu Victrola tarafından hazırlanmış özel bir bavul plak çalar içinde paketlediği için, bu sınırlı sürümün sunumu oldukça dikkat çekti.



Bu özel sette Pixel Fold'a Pixel Watch ve Pixel Buds Pro'nun yanı sıra Simone I. Smith tarafından tasarlanan özel ""It's All G"" ve Mass Appeal'den beş adet 45 RPM kayıt içeren bir vinil kutu seti eşlik etmekte. "
gazetoksijen,"Almanya'da Federal Siyasi Eğitim Merkezi (bpb) Başkanı Thomas Krüger, RedaktionsNetzwerk Deutschland adlı internet portalına verdiği demeçte, AfD'nin aldığı oyların küçümsenmemesi gerektiğini belirterek, ""Bunun hala bir protesto olarak görülmemesi gerektiği konusunda uyarıyorum. Verilen oylar, protesto oyu olarak algılanmamalı. Bu, olayı önemsizleştirmekle eş değer olacaktır"" görüşünü paylaştı.""Seçmenler, bu partiyi istiyor. Durumun ciddiyeti burada yatıyor"" ifadesini kullanan Krüger, toplumun bazı kesimlerinde kabul edilemez ve demokratik ilkelerle bağdaşmayan bazı pozisyonların artık kalıcı hale geldiğine dikkati çekti. Krüger, toplumdaki sağduyunun güçlendirilmesi ve daha fazla kararlılık gösterilmesi gerektiğinin altını çizerek, ""İşleri oluruna bırakmamalı ve radikalleşmeyi kabul etmemeliyiz"" uyarısında bulundu.Ülkedeki birçok uzman da AfD'nin artan oy oranı nedeniyle iktidardaki koalisyon hükümetiyle ana muhalefete yeni siyaset tarzı geliştirmeleri çağrısında bulunuyor. Birçok anket, AfD'nin oy oranının Başbakan Olaf Scholz'un Sosyal Demokrat Partisi'nin (SPD) önüne geçtiğini gösteriyor."
ekonomim.haber,"Ulaştırma ve Altyapı Bakanı Abdulkadir Uraloğlu, Antalya Havalimanı'nın 24 Haziran 2023'te 1137 uçuş ile 195 bin 867 yolcuya hizmet vererek, kendi rekorunu kırdığını anımsattı. Antalya Havalimanı'nın rekor üzerine rekor kırdığına işaret eden Uraloğlu, 1 Temmuz Cumartesi günü de 1188 uçuş ve 199 bin 419 yolcu ile bu rekorun tazelendiğini belirtti.Trabzon Havalimanı'nda ise 30 Haziran 2023 tarihinde, 145 uçak trafiğiyle en yüksek rakama ulaşıldığını paylaşan Uraloğlu, ""Antalya ve Trabzon Havalimanları, Kurban Bayramı'nda tüm zamanların rekorlarını kırdı. Bu bayram rekorların kırıldığı bir bayram oldu. Yapılan hizmetlerin karşılığını alıyoruz. Yatırım ve hizmetlerimizi daha da artırarak devam edeceğiz."" ifadesini kullandı.""Yeni rekorlar bekliyoruz""Uraloğlu, Antalya ve Trabzon havalimanlarında gerçekleşen uçuş trafiğinin detaylarını aktardı. Antalya Havalimanı'nın 1 Temmuz 2023 tarihinde iç hatta 168, dış hatta ise 1020 olmak üzere toplamda 1188 uçak trafiğine hizmet verdiğine dikkati çeken Uraloğlu, Trabzon Havalimanı'nın ise 30 Haziran 2023 tarihinde 145 uçak trafiğiyle kendi rekorunu kırdığını kaydetti.Yapılan yatırımların karşılığının alındığını ve rekorların tesadüf olmadığının altını çizen Uraloğlu, gelecek yıllarda ve bayramlarda daha yeni rekorlar beklediklerini, milletin bu güzel hizmetleri hak ettiğini vurguladı.""Trabzon'a 12 ülkeden uçak indi""Uraloğlu, dereleri, yaylaları ve hırçın deniziyle Türkiye'nin en önemli turizm rotalarından birisi haline dönüşen Karadeniz Bölgesi'ne turistlerin yoğun ilgi gösterdiğine de değindi. Karadeniz Bölgesi'nin, yeşili ve doğasıyla adeta cazibe merkezi haline geldiğine işaret eden Uraloğlu, şu değerlendirmelerde bulundu:""Trabzon Havalimanı'na Almanya, Azerbaycan, BAE, Bahreyn, Irak Kürdistan Bölgesi, İsrail, Katar, KKTC, Kuveyt, Suudi Arabistan, Umman ve Ürdün ülke uçakları iniş yaptı. Birçok farklı ülkeden gelen uçaklar da bölgemizde büyük bir turizm potansiyelinin olduğunun en önemli göstergesidir."""
ekonomim.haber,"İstanbul Su ve Kanalizasyon İdaresi (İSKİ) verilerine göre, 26 Haziran'da yüzde 44,68 olan barajlardaki doluluk oranı bugün itibarıyla yüzde 43,62'ye geriledi. Bu veri son 9 yılın aynı dönemine göre en düşük oran olarak kayda geçti.Barajların doluluk oranları Ömerli'de yüzde 46,7, Darlık'ta yüzde 16,8, Terkos'ta yüzde 14,9, Büyükçekmece'de 10,5, Sazlıdere'de yüzde 6,6, Alibey'de yüzde 2,2, Elmalı'da yüzde 0,9, Pabuçdere ve Istrancalar'da yüzde 0,6, Kazandere'de ise yüzde 0,2 olarak kaydedildi.Kente su sağlayan baraj ve göletler, 868,68 milyon metreküp biriktirme hacmine sahipken su miktarı bugün itibarıyla 378,89 milyon metreküp olarak ölçüldü.İstanbul'da günlük su tüketimi dün itibarıyla 2 milyon 97 bin metreküp oldu.Melen ve Yeşilçay'dan bu yıl alınan su miktarı 423,52 milyon metreküp olarak gerçekleşti. İçme suyu arıtma tesislerinden bu yıl kente verilen su miktarı ise 535,12 milyon metreküp olarak belirlendi.İSKİ istatistiklerine göre, 2 Temmuz tarihli baraj doluluk oranları 2015'te yüzde 85,57, 2016'da yüzde 71,31, 2017'de yüzde 77,38, 2018'de yüzde 79,82, 2019'da yüzde 77,61, 2020'de yüzde 64,47, 2021'de yüzde 73,17, 2022'de yüzde 73,4 iken bu günkü oran yüzde 43,62 olarak kaydedildi.İstanbul Teknik Üniversitesi (İTÜ) Uçak ve Uzay Bilimleri Fakültesi Meteoroloji Mühendisliği Bölümü Öğretim Üyesi Prof. Dr. Hüseyin Toros, barajlardaki su miktarının 378,89 milyon metreküp olduğunu anlatarak, ""Bu miktar Yeşilçay ve Melen dikkate alınmadığı takdirde 4 aylık suyumuz kaldı anlamına geliyor. Türkiye'de son 3 yıldır devam eden kuraklık bu yılın şubat ayına kadar etkisini gösterdi. Mart ayıyla beraber yağışlar Türkiye ve Marmara Bölgesi'nde artış gösterdi. Mart ayında gözlenen yağış artışı, nisan, mayıs aylarında da etkili oldu."" diye konuştu.Prof. Dr. Toros, Kurban Bayramı tatili dolayısıyla İstanbul'da yaşayanların 23 Haziran'dan itibaren kentten ayrılmaya başladıklarını dile getirerek, ""Bu tarihle birlikte İstanbul'da günlük tüketim oranı azaldı. İSKİ içme suyu arıtma tesislerinde bayram tatili öncesi 23 Haziran Cuma günü verilen su miktarı 3,36 milyon metreküp iken, bayramın 3. günü 2,82 milyon metreküp su verildi. Buna göre günlük su tüketim oranı 23 Haziran'a göre yüzde 16 azaldı. Dönüşlerin başlamasıyla birlikte günlük su tüketim oranı yeniden artışa geçti."" değerlendirmesinde bulundu.Su tasarrufunun önemine işaret eden Toros, 2023 ocak ayında su seviyesinin yüzde 28,85'e düşmesiyle insanların su tasarrufu yaptığı anlattı.Prof. Dr. Toros, bahar aylarının yağışlı geçmesiyle insanların su tasarrufunu göz ardı etmeye başladığını dile getirerek, şunları kaydetti:""Ülkemizin su yönünden zengin olmadığının hiçbir zaman unutulmaması gerekiyor. Su sıkıntısı çekmemek için başta İstanbul olmak üzere her yerde 3 yıllık su bütçesi planlarının hayata geçirilmesi gerekiyor. Suyun her damlasının önemli olduğu ve her damlasının sayarak kullanılması gerektiği ayrıca Dünya Meteoroloji Teşkilatı tarafından tavsiye ediliyor. Küresel iklim değişikliğinden olumsuz etkilenmemek için başta yağmur hasadı olmak üzere su tasarrufu ile ilgili herkesin kendi çapında suyun biriktirilmesi ve idareli kullanılması gerekiyor."""
hurriyet,"Haberin DevamıFenerbahçe'de Arda Güler'in ailesiyle beraber vereceği karar merakla bekleniyor. Sezonun ilk antrenmanını yapan Sarı-lacivertli takımda izinli olan Arda Güler'in milli takımlara giden diğer futbolcular gibi çalışmalara 5 Temmuz'da dahil olması bekleniyor.İSMAİL KARTAL VE ALİ KOÇ İLE GÖRÜŞÜP KARARINI VERECEKAğırlıklı olarak başkan Ali Koç’un teknesinde geçirdiği Bodrum tatilini sürdüren ve burada Koç’un yanı sıra, genel sekreter Burak Kızılhan, Barcelona Sportif Direktörü Deco ve Futbol Direktörü Mateu Alemany ile görüşen Arda'nın transferiyle ilgili kararını 4 Temmuz Salı günü kulübe bildirmesi bekleniyor.İstanbul'da Ali Koç ve İsmail Kartal ile özel görüşmeler yapacak olan genç yıldız kararını verip yol haritasını belirleyecek.Gözden KaçmasınFenerbahçe sezonu açtı! İsmail Kartal'dan futbolculara ilk mesaj: 'Beni zamanla çok iyi tanıyacaksınız'Haberi görüntüleLAPORTA'DAN YENİ AÇIKLAMA!Haberin DevamıArda Güler'i isteyen dev kulüplerin başında gelen Barcelona'da sportif direktör Deco ve futbol direktörü Alemany İstanbul'a gelerek Arda Güler ile görüşmüştü. Geçtiğimiz günlerde bu görüşmeyi doğrulayan ve Arda Güler için ilk resmi açıklamayı yapan başkan Laporta, genç yıldız için bir açıklama daha yaptı ve şunları söyledi:Arda Güler çok genç bir oyuncu. İzleme ekibimiz, onu uzun süredir takip ediyor. Avrupa'daki tüm önemli kulüpler Arda Güler'i istiyor. Fenerbahçe ile görüşmeye devam ediyoruz.BARCELONA'NIN TEKLİFİNİ DUYURDULAR! 1 MİLYAR EURO DETAYI...  Barça Times'ın haberine göre Arda Güler transferinde mutlu sona en yakın olan taraf Barcelona. Haberde 18 yaşındaki futbolcuyla büyük ölçüde anlaşan Katalan devinin Fenerbahçe'ye bonuslarla birlikte 23 milyon euroluk bir bonservis paketi önerdiği, Arda Güler'e ise 10 milyon euroyu bulan imza parası teklif ettiği ifade edildi.  Arda'yı 5 yıllığına renklerine bağlamayı planlayan Barcelona'nın serbest kalma bedelini ise 1 milyar euro olarak belirleyeceği yazıldı.Gözden KaçmasınFenerbahçe'den İsmail Kartal sonrası ilk büyük transfer! Cuadrado ile yeni randevu...Haberi görüntüleMESUT ÖZİL'DEN ARDA'YA TELEFON Barcelona'ya yakınlığıyla bilinen Sport'un haberinde Arda Güler'in idollerinden olan, Fenerbahçe'de birlikte top koşturduğu Mesut Özil'in genç futbolcuyu aradığı ve bir sezon daha Fenerbahçe'de kalmasını tavsiye ettiği iddia edildi.Haberin DevamıREAL MADRID'DEN ROBERTO CARLOS HAMLESİ!Mundo Deportivo'nun haberinde ise Barcelona'nın Deco'yu gönderdiği Arda Güler için Real Madrid'in de kulüp efsaneleri Roberto Carlos ve Emilio Butragueno'yu İstanbul'a göndereceği belirtildi."
